*****************************
Basic coeficients
*****************************
Alpha, Cd
  -6.000    ,    .1436E-01,    .1324E-01,    .7929E-02,    .3116E-02,   -.4531E-05,   -.1418E-02,   -.1138E-02,   -.2647E-03,    .6997E-03
  -4.000    ,    .1268E-01,    .1165E-01,    .6801E-02,    .2552E-02,   -.3402E-05,   -.8540E-03,   -.1048E-04,    .1172E-02,    .2363E-02
  -2.000    ,    .1101E-01,    .1006E-01,    .5684E-02,    .1993E-02,   -.2286E-05,   -.2958E-03,    .1106E-02,    .2595E-02,    .4010E-02
    .000    ,    .9374E-02,    .8515E-02,    .4592E-02,    .1447E-02,   -.1193E-05,    .2504E-03,    .2198E-02,    .3987E-02,    .5622E-02
   2.000    ,    .7790E-02,    .7013E-02,    .3532E-02,    .9171E-03,   -.1333E-06,    .7805E-03,    .3259E-02,    .5337E-02,    .7185E-02
   4.000    ,    .6248E-02,    .5552E-02,    .2501E-02,    .4016E-03,    .8979E-06,    .1296E-02,    .4290E-02,    .6651E-02,    .8706E-02
   8.000    ,    .3194E-02,    .2656E-02,    .4573E-03,   -.6201E-03,    .2941E-05,    .2318E-02,    .6333E-02,    .9255E-02,    .1172E-01
   9.000    ,    .2372E-02,    .1876E-02,   -.9298E-04,   -.8953E-03,    .3492E-05,    .2593E-02,    .6883E-02,    .9956E-02,    .1253E-01
   10.00    ,    .1520E-02,    .1069E-02,   -.6625E-03,   -.1180E-02,    .4061E-05,    .2878E-02,    .7453E-02,    .1068E-01,    .1337E-01
   12.00    ,   -.4587E-03,   -.8078E-03,   -.1987E-02,   -.1842E-02,    .5386E-05,    .3540E-02,    .8777E-02,    .1237E-01,    .1533E-01
   14.00    ,   -.2807E-02,   -.3035E-02,   -.3558E-02,   -.2628E-02,    .6957E-05,    .4325E-02,    .1035E-01,    .1437E-01,    .1764E-01
   16.00    ,   -.5881E-02,   -.5949E-02,   -.5614E-02,   -.3656E-02,    .9011E-05,    .5353E-02,    .1240E-01,    .1699E-01,    .2068E-01
   18.00    ,   -.9198E-02,   -.9094E-02,   -.7833E-02,   -.4765E-02,    .1123E-04,    .6463E-02,    .1462E-01,    .1982E-01,    .2395E-01
   19.00    ,   -.1098E-01,   -.1079E-01,   -.9027E-02,   -.5362E-02,    .1242E-04,    .7060E-02,    .1582E-01,    .2134E-01,    .2571E-01
   20.00    ,   -.1252E-01,   -.1224E-01,   -.1005E-01,   -.5876E-02,    .1345E-04,    .7573E-02,    .1684E-01,    .2265E-01,    .2722E-01
   21.00    ,   -.1378E-01,   -.1344E-01,   -.1090E-01,   -.6300E-02,    .1431E-04,    .7997E-02,    .1769E-01,    .2373E-01,    .2848E-01
   22.00    ,   -.1540E-01,   -.1497E-01,   -.1198E-01,   -.6839E-02,    .1538E-04,    .8537E-02,    .1877E-01,    .2510E-01,    .3007E-01
   24.00    ,   -.1821E-01,   -.1764E-01,   -.1386E-01,   -.7779E-02,    .1726E-04,    .9476E-02,    .2065E-01,    .2750E-01,    .3284E-01

DeltaElev, CL_Elev
  -20.00    ,   -.1583    
  -15.00    ,   -.1501    
  -10.00    ,   -.1059    
  -5.000    ,   -.5294E-01
    .000    ,    .1059E-03
   5.000    ,    .5294E-01
   10.00    ,    .1059    
   13.00    ,    .1349    
   16.00    ,    .1562    

DeltaElev, Cm_Elev
  -20.00    ,    .4518    
  -15.00    ,    .4268    
  -10.00    ,    .3011    
  -5.000    ,    .1505    
    .000    ,   -.3011E-03
   5.000    ,   -.1505    
   10.00    ,   -.3011    
   13.00    ,   -.3834    
   16.00    ,   -.4445    

DeltaElev, CLa_Elev
  -20.00    ,     .000    
  -15.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
   13.00    ,     .000    
   16.00    ,     .000    

DeltaElev, Cha_Elev
  -20.00    ,    .1509E-02
  -15.00    ,    .1509E-02
  -10.00    ,    .1509E-02
  -5.000    ,    .1509E-02
